simDay,asymptomatic,deceased,exposed,infected1,infected2,recovered1,recovered2,susceptible
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57345080.781819835
2,0.0,0.0,0.32566474854123656,0.0,0.0,0.0,0.0,57345080.46171919
3,32.54568978269624,3.231623133384294e-05,46.90237175067451,4.960742000709503,0.44823171156791086,0.8095392402402529,0.014057656260810802,57344995.10115539
4,121.65484112716463,0.0008200165572267262,98.61853602360283,17.564160903663222,2.903116724519505,5.7265326272564465,0.1960387342347916,57344834.11777365
5,263.0864822914304,0.0052273101201426656,152.36823617778649,36.04056703140137,8.582828468009222,18.403637911992345,0.942588838803201,57344601.35225178
6,456.5260170398257,0.018944423299815733,201.46937557809005,59.504683793807956,18.288003404356218,42.405543950535446,2.893855044101957,57344299.67539658
7,699.2444540898854,0.04993334814812264,244.46063522234599,87.26941513892228,31.969676694190525,80.2474699211358,6.887177818622825,57343930.65305758
8,978.4462099649936,0.10910333860949702,300.0361559029602,116.40830995571807,50.465569704980815,135.59019769669504,13.961709502841126,57343485.76456375
9,1299.1055846428897,0.20732156210153532,354.32533891719487,147.7765699622836,73.33619050042559,210.4537743263063,25.34080757824044,57342970.236232325
10,1658.8488554873015,0.35652059228855537,409.10430800871774,181.107160548917,100.08790105844798,306.55947038344095,42.41448138007581,57342382.303122364
11,2058.681644887132,0.5688029981356502,458.35573554843734,216.52635595507866,130.5523681985932,425.5203036469419,66.65753327249163,57341723.919075295
12,2507.8405870006404,0.8552894511880632,491.6710134973235,255.77175293041066,164.1813363418324,568.4152756416963,99.65447319097164,57340992.39209176
13,2969.3178575641828,1.2261437318422226,552.2765058870001,292.1750920259126,201.7375020156396,737.782827014863,143.04468528237405,57340183.221206315
14,3461.5657621182945,1.6902565542490615,613.4211835383779,329.3441389683048,242.21371230424148,933.693694527863,198.5983658506773,57339300.25470599
15,3986.2088221936438,2.255553000336302,663.7057105141918,367.84723964156893,285.0863031606622,1156.5485007584084,268.1157307131728,57338351.013959825
16,4538.172486918049,2.9289858361859467,684.5868578965011,407.40316752573716,329.5810800426162,1405.8426645522184,353.40988450566726,57337358.85669254
17,5075.429208194222,3.715502018836298,704.7076294624419,441.23417165823696,375.6773663601442,1681.658654846977,456.2157190696751,57336342.14356819
18,5599.51167286853,4.617501197912461,719.5053571526736,470.72916173218823,421.9240588171828,1981.456605923926,578.2188819368465,57335304.81858019
