simDay,A,D,E,I1,I2,R1,R2,S
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
2,0.0,0.0,1.4382286256356946e-08,0.0,0.0,0.0,0.0,0.9999999865463938
3,5.60884074485015e-07,3.9703165171651303e-13,8.265540927470355e-07,8.543449618086673e-08,7.807039870706692e-09,1.4062732536413744e-08,2.368696064336358e-10,0.9999985050202975
4,2.1413206193676344e-06,1.091199511189342e-11,1.7937283109142455e-06,3.0965118215345264e-07,5.047595473750572e-08,9.946913770527839e-08,3.3866284651773934e-09,0.9999956019572547
5,4.774511442023459e-06,7.084030724958696e-11,2.8842944757263583e-06,6.56478231942839e-07,1.5289535248957258e-07,3.266434427555721e-07,1.6505241495468824e-08,0.9999911886009732
6,8.530314402980374e-06,2.625449701334816e-10,3.970042581674169e-06,1.1188184037578132e-06,3.3382400711332574e-07,7.692786037028394e-07,5.1556869766293956e-08,0.999985225902586
7,1.3455200705399822e-05,7.074447986352492e-10,5.048836901376857e-06,1.6944317140503422e-06,5.990814430313648e-07,1.4883802062384076e-06,1.2476432437933254e-07,0.9999775885972604
8,1.9435047068806073e-05,1.5813993332422488e-09,6.522448249169092e-06,2.3427442132624737e-06,9.7134943042247e-07,2.5734546440229413e-06,2.5745403945608077e-07,0.9999678959209557
9,2.67339566526646e-05,3.07800223484589e-09,8.013379333969234e-06,3.1000651430200523e-06,1.4507096595238362e-06,4.089157746590176e-06,4.7617619887706343e-07,0.9999561334772633
10,3.55534557483097e-05,5.425135469696343e-09,9.418581382704486e-06,3.993509388050251e-06,2.0359808511040573e-06,6.099449230172452e-06,8.121992993694844e-07,0.9999420813989647
11,4.555598488749994e-05,8.883600785150907e-09,1.1439959626686232e-05,4.944558171959673e-06,2.751829055968647e-06,8.703605083804841e-06,1.3013840597305115e-06,0.9999252937955135
12,5.712729826278837e-05,1.3713580878959129e-08,1.3769086605155049e-05,6.008853565057946e-06,3.598626666775998e-06,1.1974086862653786e-05,1.984693561608444e-06,0.9999055236408952
