timestamp,simDay,arrivalType,ageGroup,healthState,value
2020-12-15,1,current,0-9,asymptomatic,0.0
2020-12-15,1,current,0-9,deceased,0.0
2020-12-15,1,current,0-9,exposed,0.0
2020-12-15,1,current,0-9,infected1,0.0
2020-12-15,1,current,0-9,infected2,0.0
2020-12-15,1,current,0-9,recovered1,0.0
2020-12-15,1,current,0-9,recovered2,0.0
2020-12-15,1,current,0-9,susceptible,6795024.0
2020-12-15,1,current,10-19,asymptomatic,0.0
2020-12-15,1,current,10-19,deceased,0.0
2020-12-15,1,current,10-19,exposed,0.0
2020-12-15,1,current,10-19,infected1,0.0
2020-12-15,1,current,10-19,infected2,0.0
2020-12-15,1,current,10-19,recovered1,0.0
2020-12-15,1,current,10-19,recovered2,0.0
2020-12-15,1,current,10-19,susceptible,6455796.0
2020-12-15,1,current,20-29,asymptomatic,0.0
2020-12-15,1,current,20-29,deceased,0.0
2020-12-15,1,current,20-29,exposed,0.0
2020-12-15,1,current,20-29,infected1,0.0
2020-12-15,1,current,20-29,infected2,0.0
2020-12-15,1,current,20-29,recovered1,0.0
2020-12-15,1,current,20-29,recovered2,0.0
2020-12-15,1,current,20-29,susceptible,7229763.0
2020-12-15,1,current,30-39,asymptomatic,0.0
2020-12-15,1,current,30-39,deceased,0.0
2020-12-15,1,current,30-39,exposed,0.0
2020-12-15,1,current,30-39,infected1,0.0
2020-12-15,1,current,30-39,infected2,0.0
2020-12-15,1,current,30-39,recovered1,0.0
2020-12-15,1,current,30-39,recovered2,0.0
2020-12-15,1,current,30-39,susceptible,7851749.0
2020-12-15,1,current,40-49,asymptomatic,0.0
2020-12-15,1,current,40-49,deceased,0.0
2020-12-15,1,current,40-49,exposed,0.0
2020-12-15,1,current,40-49,infected1,0.0
2020-12-15,1,current,40-49,infected2,0.0
2020-12-15,1,current,40-49,recovered1,0.0
2020-12-15,1,current,40-49,recovered2,0.0
2020-12-15,1,current,40-49,susceptible,7268235.0
2020-12-15,1,current,50-59,asymptomatic,0.0
2020-12-15,1,current,50-59,deceased,0.0
2020-12-15,1,current,50-59,exposed,0.0
2020-12-15,1,current,50-59,infected1,0.0
2020-12-15,1,current,50-59,infected2,0.0
2020-12-15,1,current,50-59,recovered1,0.0
2020-12-15,1,current,50-59,recovered2,0.0
2020-12-15,1,current,50-59,susceptible,7749065.0
2020-12-15,1,current,60-69,asymptomatic,0.0
2020-12-15,1,current,60-69,deceased,0.0
2020-12-15,1,current,60-69,exposed,0.0
2020-12-15,1,current,60-69,infected1,0.0
2020-12-15,1,current,60-69,infected2,0.0
2020-12-15,1,current,60-69,recovered1,0.0
2020-12-15,1,current,60-69,recovered2,0.0
2020-12-15,1,current,60-69,susceptible,6155330.0
2020-12-15,1,current,70-79,asymptomatic,0.0
2020-12-15,1,current,70-79,deceased,0.0
2020-12-15,1,current,70-79,exposed,0.0
2020-12-15,1,current,70-79,infected1,0.0
2020-12-15,1,current,70-79,infected2,0.0
2020-12-15,1,current,70-79,recovered1,0.0
2020-12-15,1,current,70-79,recovered2,0.0
2020-12-15,1,current,70-79,susceptible,4925289.0
2020-12-15,1,current,80+,asymptomatic,0.0
2020-12-15,1,current,80+,deceased,0.0
2020-12-15,1,current,80+,exposed,0.0
2020-12-15,1,current,80+,infected1,0.0
2020-12-15,1,current,80+,infected2,0.0
2020-12-15,1,current,80+,recovered1,0.0
2020-12-15,1,current,80+,recovered2,0.0
2020-12-15,1,current,80+,susceptible,2914825.0
2020-12-15,1,new,0-9,asymptomatic,0.0
2020-12-15,1,new,0-9,deceased,0.0
2020-12-15,1,new,0-9,exposed,0.0
2020-12-15,1,new,0-9,infected1,0.0
2020-12-15,1,new,0-9,infected2,0.0
2020-12-15,1,new,0-9,recovered1,0.0
2020-12-15,1,new,0-9,recovered2,0.0
2020-12-15,1,new,0-9,susceptible,6795024.0
2020-12-15,1,new,10-19,asymptomatic,0.0
2020-12-15,1,new,10-19,deceased,0.0
2020-12-15,1,new,10-19,exposed,0.0
2020-12-15,1,new,10-19,infected1,0.0
2020-12-15,1,new,10-19,infected2,0.0
2020-12-15,1,new,10-19,recovered1,0.0
2020-12-15,1,new,10-19,recovered2,0.0
2020-12-15,1,new,10-19,susceptible,6455796.0
2020-12-15,1,new,20-29,asymptomatic,0.0
2020-12-15,1,new,20-29,deceased,0.0
2020-12-15,1,new,20-29,exposed,0.0
2020-12-15,1,new,20-29,infected1,0.0
2020-12-15,1,new,20-29,infected2,0.0
2020-12-15,1,new,20-29,recovered1,0.0
2020-12-15,1,new,20-29,recovered2,0.0
2020-12-15,1,new,20-29,susceptible,7229763.0
2020-12-15,1,new,30-39,asymptomatic,0.0
2020-12-15,1,new,30-39,deceased,0.0
2020-12-15,1,new,30-39,exposed,0.0
2020-12-15,1,new,30-39,infected1,0.0
2020-12-15,1,new,30-39,infected2,0.0
2020-12-15,1,new,30-39,recovered1,0.0
2020-12-15,1,new,30-39,recovered2,0.0
2020-12-15,1,new,30-39,susceptible,7851749.0
2020-12-15,1,new,40-49,asymptomatic,0.0
2020-12-15,1,new,40-49,deceased,0.0
